Record Number,Type,Address,Date Opened,Status
PPA24-0061,Planning Pre-Application,"4422 E AIRPORT DR, SUITE A, ONTARIO CA 91761",2/26/2024,Complete
PPA24-0060,Planning Pre-Application,"2460 S EUCLID AV, ONTARIO CA 91762",2/26/2024,Complete
PVER24-004,Zoning Verification Letter,"2035 S CUCAMONGA AV, ONTARIO CA 91761",2/23/2024,Approved
PTUP24-021,Temporary Use Permit,"320 E D ST, ONTARIO CA 91764",2/23/2024,Approved
PSGN24-019,Sign Permit,"5401 E JURUPA ST, ONTARIO CA 91761",2/23/2024,Approved Final
PPA24-0059,Planning Pre-Application,"3175 E SEDONA CT, BLDG A, ONTARIO CA 91764",2/23/2024,Complete
PPA24-0058,Planning Pre-Application,"1150 W FOURTH ST, ONTARIO CA 91762",2/23/2024,Complete
PPA24-0057,Planning Pre-Application,"2416 S GROVE AV, ONTARIO CA 91761",2/23/2024,Complete
PPA24-0056,Planning Pre-Application,"4175 E INLAND EMPIRE BL, ONTARIO CA 91764",2/23/2024,Complete
PPA24-0055,Planning Pre-Application,"646 W HOLT BL, ONTARIO CA 91762",2/23/2024,Complete
PTUP24-020,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",2/22/2024,Approved
PTUP24-019,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",2/22/2024,Approved
PPA24-0054,Planning Pre-Application,"5401 E JURUPA ST, ONTARIO CA 91761",2/22/2024,Complete
PSGN24-018,Sign Permit,,2/21/2024,Approved Final
PPA24-0053,Planning Pre-Application,"2035 S CUCAMONGA AV, ONTARIO CA 91761",2/21/2024,Complete
PPA24-0052,Planning Pre-Application,"320 E D ST, ONTARIO CA 91764",2/21/2024,Complete
PSGN24-017,Sign Permit,"2938 S MILLIKEN AV, Ontario CA 91761",2/20/2024,Approved Final
PCUP24-004,Conditional Use Permit,"2409 S VINEYARD AV, SUITE L, ONTARIO CA 91761",2/20/2024,Withdrawn
PPA24-0051,Planning Pre-Application,"800 N ARCHIBALD AV, BLDG 1, ONTARIO CA 91764",2/20/2024,Complete
PPA24-0050,Planning Pre-Application,"2938 S MILLIKEN AV, Ontario CA 91761",2/19/2024,Complete
PPA24-0049,Planning Pre-Application,"111 N VINEYARD AV, SUITE B, Ontario CA 91761",2/17/2024,Resubmittal Required
PPA24-0048,Planning Pre-Application,"1150 E PHILADELPHIA ST, SUITE 112, ONTARIO CA 91761",2/16/2024,Resubmittal Required
PPA24-0047,Planning Pre-Application,"2409 S VINEYARD AV, SUITE L, ONTARIO CA 91761",2/16/2024,Complete
24TMP-001319,Planning Pre-Application,"320 E D ST, BLDG, Ontario CA United States",2/15/2024,
24TMP-001311,Planning Pre-Application,"1372 E FIFTH ST, BLDG 1, ONTARIO CA 91764",2/15/2024,
PTUP24-018,Temporary Use Permit,"1 E MILLS CI, SUITE 1000, ONTARIO CA 91764",2/15/2024,Approved
PTUP24-017,Temporary Use Permit,"950 W D ST, BLDG 1, ONTARIO CA 91762",2/15/2024,Approved
PSGN24-016,Sign Permit,"921 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",2/13/2024,Approved Final
PPA24-0046,Planning Pre-Application,"844 E WOODLAWN ST, ONTARIO CA 91761",2/13/2024,Withdrawn
PVER24-003,Zoning Verification Letter,"1456 E PHILADELPHIA ST, ONTARIO CA 91761",2/12/2024,Approved
PTUP24-016,Temporary Use Permit,"2802 E BOTTAS PRIVADO, ONTARIO CA 91762",2/12/2024,Approved
PPA24-0045,Planning Pre-Application,"0 E SCE EASEMENT, ONTARIO CA 91761",2/12/2024,Withdrawn
PPA24-0044,Planning Pre-Application,"0 S MILLIKEN AV, ONTARIO CA 91761",2/12/2024,Complete
PPA24-0043,Planning Pre-Application,"2802 E BOTTAS PRIVADO, ONTARIO CA 91762",2/9/2024,Complete
PPA24-0042,Planning Pre-Application,"1456 E PHILADELPHIA ST, ONTARIO CA 91761",2/9/2024,Complete
24TMP-001083,Planning Pre-Application,"2802 E BOTTAS PRIVADO, ONTARIO CA 91762",2/8/2024,
PSGN24-015,Sign Permit,"980 N HAVEN AV, ONTARIO CA 91764",2/8/2024,Approved Final
PPA24-0041,Planning Pre-Application,"1047 N MOUNTAIN AV, BLDG 1, ONTARIO CA 91762",2/8/2024,Resubmittal Required
PPA24-0040,Planning Pre-Application,"222 W G ST, Ontario CA 91762",2/8/2024,Withdrawn
PPA24-0039,Planning Pre-Application,"1 E MILLS CI, SUITE 1000, ONTARIO CA 91764",2/8/2024,Complete
PPA24-0038,Planning Pre-Application,"11111 E EDISON AV, ONTARIO CA 91762",2/7/2024,Withdrawn
24TMP-001024,Planning Pre-Application,"980 N HAVEN AV, ONTARIO CA 91764",2/6/2024,
PSGN24-014,Sign Permit,"117 W HOLT BL, BLDG 1, ONTARIO CA 91762",2/6/2024,Approved Final
PPA24-0037,Planning Pre-Application,"1135 E DEERFIELD ST, ONTARIO CA 91761",2/6/2024,Withdrawn
24TMP-000970,Planning Pre-Application,"1425 S TOYOTA WY, ONTARIO CA 91761",2/5/2024,
PTUP24-015,Temporary Use Permit,"211 W TRANSIT ST, ONTARIO CA 91762",2/5/2024,Approved
PTUP24-012,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",2/5/2024,Approved
PPA24-0036,Planning Pre-Application,"840 S MAGNOLIA AV, ONTARIO CA 91762",2/5/2024,Withdrawn
PTUP24-014,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",2/5/2024,Approved
PTUP24-013,Temporary Use Permit,"215 E C ST, ONTARIO CA 91761",2/5/2024,Approved
PPA24-0035,Planning Pre-Application,"2755 E PHILADELPHIA ST, ONTARIO CA 91761",2/3/2024,Withdrawn
PTUP24-011,Temporary Use Permit,"3501 E INDIGO PRIVADO, SUITE 16, ONTARIO CA 91764",2/2/2024,Active
PPA24-0034,Planning Pre-Application,"117 W HOLT BL, BLDG 1, ONTARIO CA 91762",2/2/2024,Complete
PSGN24-013,Sign Permit,"100 S EUCLID AV, BLDG 1, ONTARIO CA 91762",2/1/2024,Approved Final
PTUP24-010,Temporary Use Permit,"115 S PALM AV, ONTARIO CA 91762",1/31/2024,Approved
PSGN24-012,Sign Permit,"4500 E MILLS CI S, ONTARIO CA 91764",1/31/2024,Approved Final
PDEV24-002,Development Plan,"305 N SULTANA AV, Ontario CA 91764",1/31/2024,Approved Final
PPA24-0033,Planning Pre-Application,"1240 W FOURTH ST, ONTARIO CA 91762",1/31/2024,Withdrawn
PPA24-0032,Planning Pre-Application,"3501 E INDIGO PRIVADO, SUITE 16, ONTARIO CA 91764",1/31/2024,Complete
PTUP24-009,Temporary Use Permit,"322 W D ST, ONTARIO CA 91762",1/30/2024,Approved
PSPA24-002,Specific Plan Amendment,"0 S ARCHIBALD AV, ONTARIO CA 91761",1/30/2024,Active
PSPA24-001,Specific Plan Amendment,"0 S ARCHIBALD AV, ONTARIO CA 91761",1/30/2024,Active
PGPA24-001,General Plan Amendment,"0 S ARCHIBALD AV, ONTARIO CA 91761",1/30/2024,Active
PDEV24-001,Development Plan,"13708 S ARCHIBALD AV, ONTARIO CA 91761",1/30/2024,Under Review
PDET24-001,Determination of Use,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",1/30/2024,Approved Final
PCUP24-003,Conditional Use Permit,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",1/30/2024,Approved Final
PPA24-0031,Planning Pre-Application,"4500 E MILLS CI S, ONTARIO CA 91764",1/30/2024,Complete
PPA24-0030,Planning Pre-Application,"305 N SULTANA AV, Ontario CA 91764",1/29/2024,Complete
PPA24-0029,Planning Pre-Application,"921 N MILLIKEN AV, SUITE B, ONTARIO CA 91764",1/29/2024,Complete
PPA24-0028,Planning Pre-Application,"115 S PALM AV, ONTARIO CA 91762",1/27/2024,Complete
PSGN24-011,Sign Permit,"2505 S EUCLID AV, BLDG 1, ONTARIO CA 91761",1/26/2024,Approved Final
PPA24-0027,Planning Pre-Application,"4100 E INLAND EMPIRE BL, BLDG 1, ONTARIO CA 91764",1/25/2024,Withdrawn
PPA24-0026,Planning Pre-Application,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",1/25/2024,Complete
PPA24-0025,Planning Pre-Application,"2252 S EUCLID AV, SUITE G, ONTARIO CA 91762",1/24/2024,Complete
PTUP24-008,Temporary Use Permit,"2475 E AVION ST, ONTARIO CA 91761",1/23/2024,Approved
PPA24-0024,Planning Pre-Application,"4500 E MILLS CI S, ONTARIO CA 91764",1/23/2024,Resubmittal Required
PPA24-0023,Planning Pre-Application,"503 N % AV, Ontario CA United States",1/23/2024,Withdrawn
24TMP-000562,Planning Pre-Application,,1/22/2024,
PSGN24-010,Sign Permit,"1000 W FOURTH ST, ONTARIO CA 91762",1/22/2024,Active
PDFR24-001,DIF Deferral Application,"2101 Rosecrans AV, 6250",1/22/2024,
PPA24-0022,Planning Pre-Application,"1610 E PHILADELPHIA ST, ONTARIO CA 91761",1/22/2024,Withdrawn
PTUP24-007,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",1/19/2024,Approved
PSGN24-009,Sign Permit,"4900 S SULTANA AV, ONTARIO CA 91762",1/19/2024,Approved Final
PSGN24-008,Sign Permit,"646 W HOLT BL, ONTARIO CA 91762",1/19/2024,Approved Final
PPA24-0021,Planning Pre-Application,"4900 S SULTANA AV, ONTARIO CA 91762",1/19/2024,Complete
PPA24-0020,Planning Pre-Application,"4500 E MILLS CI S, ONTARIO CA 91764",1/19/2024,Withdrawn
PPA24-0019,Planning Pre-Application,"646 W HOLT BL, ONTARIO CA 91762",1/19/2024,Complete
PPA24-0018,Planning Pre-Application,"1105 N MOUNTAIN AV, ONTARIO CA 91762",1/18/2024,Withdrawn
PTUP24-006,Temporary Use Permit,"13545 S WALKER AV, ONTARIO CA 91761",1/17/2024,Active
PTUP24-005,Temporary Use Permit,"0 S HAVEN AV, ONTARIO CA 91761",1/17/2024,Active
PSGN24-007,Sign Permit,"980 N HAVEN AV, ONTARIO CA 91764",1/17/2024,Approved Final
PSGN24-006,Sign Permit,"4340 E MILLS CI S, ONTARIO CA 91764",1/17/2024,Approved Final
PPA24-0017,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",1/17/2024,Complete
PSGN24-005,Sign Permit,"4246 E ONTARIO RANCH RD, Ontario CA 91762",1/16/2024,Approved Final
PPA24-0016,Planning Pre-Application,"980 N HAVEN AV, ONTARIO CA 91764",1/16/2024,Complete
PPA24-0015,Planning Pre-Application,"3560 E AIRPORT DR, Ontario CA 91761",1/16/2024,Complete
PPA24-0014,Planning Pre-Application,"910 S GROVE AV, ONTARIO CA 91761",1/16/2024,Withdrawn
PPA24-0013,Planning Pre-Application,"1440 E FOURTH ST, ONTARIO CA 91764",1/15/2024,Complete
PPA24-0012,Planning Pre-Application,"633 W STATE ST, ONTARIO CA 91762",1/12/2024,Complete
PPA24-0011,Planning Pre-Application,"1923 E AVION ST, BLDG 2, ONTARIO CA 91761",1/12/2024,Withdrawn
PPA24-0010,Planning Pre-Application,"4370 mills circle S, ONTARIO CA 91764",1/11/2024,Withdrawn
PPA24-0009,Planning Pre-Application,"4500 E MILLS CI S, ONTARIO CA 91764",1/11/2024,Resubmittal Required
PVER24-002,Zoning Verification Letter,"1651 S CARLOS AV, ONTARIO CA 91761",1/10/2024,Approved
PTUP24-004,Temporary Use Permit,"1010 S BON VIEW AV, ONTARIO CA 91761",1/10/2024,Approved
PPA24-0008,Planning Pre-Application,"4340 E MILLS CI S, ONTARIO CA 91764",1/10/2024,Complete
PPA24-0007,Planning Pre-Application,"0 S HAVEN AV, ONTARIO CA 91761",1/10/2024,Complete
PPA24-0006,Planning Pre-Application,"2475 E AVION ST, ONTARIO CA 91761",1/10/2024,Complete
PTUP24-003,Temporary Use Permit,"125 W EMPORIA ST, ONTARIO CA 91762",1/9/2024,Withdrawn
PTUP24-002,Temporary Use Permit,"1405 S FERN AV, ONTARIO CA 91762",1/9/2024,Approved
PTUP24-001,Temporary Use Permit,"1 E MILLS CI, SUITE 101, ONTARIO CA 91764",1/9/2024,Approved
PADV24-001,Advance Planning,"303 E B ST, ONTARIO CA 91764",1/9/2024,Under Review
PPA24-0005,Planning Pre-Application,"1651 S CARLOS AV, ONTARIO CA 91761",1/9/2024,Complete
PSGN24-004,Sign Permit,"2983 S STEFANO CT, BLDG 1, ONTARIO CA 91761",1/8/2024,Approved Final
PPA24-0004,Planning Pre-Application,"2910 S MILLIKEN AV, ONTARIO CA 91761",1/8/2024,Complete
24TMP-000145,Planning Pre-Application,,1/7/2024,
PPA24-0003,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",1/6/2024,Withdrawn
PVER24-001,Zoning Verification Letter,"3550 S MILL CREEK AV, ONTARIO CA 91761",1/5/2024,Approved
PPA24-0002,Planning Pre-Application,"2150 S ARCHIBALD AV, ONTARIO CA 91761",1/5/2024,Complete
PSGN24-003,Sign Permit,"900 N HAVEN AV, ONTARIO CA 91764",1/4/2024,Approved Final
PSGN24-002,Sign Permit,"4270 E ONTARIO RD, SUITE 101, Ontario CA 91762",1/3/2024,Approved Final
PSGN24-001,Sign Permit,"3257 E GUASTI RD, ONTARIO CA 91761",1/3/2024,Approved Final
PCUP24-002,Conditional Use Permit,"4551 E MILLS CI N, ONTARIO CA 91764",1/3/2024,Approved Final
PCUP24-001,Conditional Use Permit,"990 N ONTARIO MILLS DR, SUITE H, ONTARIO CA 91764",1/3/2024,Under Review
PPA24-0001,Planning Pre-Application,"900 N HAVEN AV, ONTARIO CA 91764",1/3/2024,Complete
PPA23-0486,Planning Pre-Application,"608 W SUNKIST ST, ONTARIO CA 91762",12/30/2023,Withdrawn
PPA23-0485,Planning Pre-Application,"4270 E ONTARIO RD, SUITE 101, Ontario CA 91762",12/28/2023,Complete
PPA23-0484,Planning Pre-Application,"3257 E GUASTI RD, ONTARIO CA 91761",12/28/2023,Complete
PPA23-0483,Planning Pre-Application,"4551 E MILLS CI N, ONTARIO CA 91764",12/27/2023,Complete
PPA23-0482,Planning Pre-Application,"1 E MILLS CI, SUITE 101, ONTARIO CA 91764",12/26/2023,Complete
23TMP-008089,Planning Pre-Application,"2913 S CALDWELL AV, ONTARIO CA 91761",12/22/2023,
PVER23-063,Zoning Verification Letter,"1055 E FRANCIS ST, ONTARIO CA 91761",12/22/2023,Approved
PTUP23-146,Temporary Use Permit,"115 S PALM AV, ONTARIO CA 91762",12/22/2023,Approved
PSGN23-151,Sign Permit,"215 N EUCLID AV, ONTARIO CA 91762",12/22/2023,Approved Final
PPA23-0481,Planning Pre-Application,"3333 E SHELBY ST, ONTARIO CA 91764",12/22/2023,Resubmittal Required
PPA23-0480,Planning Pre-Application,"1702 S CUCAMONGA AV, BLDG 1, ONTARIO CA 91761",12/22/2023,Complete
PPA23-0479,Planning Pre-Application,"215 N EUCLID AV, ONTARIO CA 91762",12/21/2023,Complete
PTUP23-145,Temporary Use Permit,"704 E E ST, ONTARIO CA 91764",12/20/2023,Approved
PDEV23-043,Development Plan,"11091 E EDISON AV, ONTARIO CA 91762",12/20/2023,Approved Final
PPA23-0478,Planning Pre-Application,"115 S PALM AV, ONTARIO CA 91762",12/20/2023,Complete
PPA23-0477,Planning Pre-Application,"2475 E AVION ST, Ontario CA 91761",12/19/2023,Resubmittal Required
PDA-23-006,Development Agreement,"0 N Ontario Ranch RD, Ontario CA United States",12/18/2023,Approved Final
PPA23-0476,Planning Pre-Application,"0 N Ontario Ranch RD, Ontario CA United States",12/18/2023,Complete
PVER23-062,Zoning Verification Letter,"8817 E SCHAEFER AV, ONTARIO CA 91761",12/15/2023,Approved
PVER23-061,Zoning Verification Letter,"0 E SCHAEFER AV, ONTARIO CA 91761",12/15/2023,Active
PVER23-060,Zoning Verification Letter,"0 S WALKER AV, ONTARIO CA 91710",12/15/2023,Withdrawn
PVER23-059,Zoning Verification Letter,"8459 E SCHAEFER AV, ONTARIO CA 91761",12/15/2023,Approved
PVER23-058,Zoning Verification Letter,"0 E CHINO AV, ONTARIO CA 91761",12/15/2023,Approved
PVER23-057,Zoning Verification Letter,"7225 E EDISON AV, ONTARIO CA 91710",12/15/2023,Approved
PVER23-056,Zoning Verification Letter,"5701 E CLARK ST, ONTARIO CA 91761",12/15/2023,Active
PTUP23-144,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",12/15/2023,Approved
PSGN23-150,Sign Permit,"4652 E BRICKELL ST, SUITE A, Ontario CA 91761",12/15/2023,Approved Final
PPA23-0475,Planning Pre-Application,"990 N ONTARIO MILLS DR, SUITE H, ONTARIO CA 91764",12/15/2023,Complete
PADV23-007,Advance Planning,"724 W HOLT BL, ONTARIO CA 91762",12/14/2023,Approved
PPA23-0474,Planning Pre-Application,"11111 E EDISON AV, ONTARIO CA 91762",12/14/2023,Complete
PPA23-0473,Planning Pre-Application,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",12/13/2023,Complete
PPA23-0472,Planning Pre-Application,"4652 E BRICKELL ST, SUITE A, Ontario CA 91761",12/13/2023,Complete
23TMP-007765,Planning Pre-Application,"5100 E JURUPA ST, BLDG 4, ONTARIO CA 91761",12/12/2023,
PPA23-0471,Planning Pre-Application,"635 E HOLT BL, SUITE A, ONTARIO CA 91761",12/12/2023,Withdrawn
PPA23-0470,Planning Pre-Application,"7225 E EDISON AV, ONTARIO CA 91710",12/12/2023,Complete
PPA23-0469,Planning Pre-Application,"8817 E SCHAEFER AV, ONTARIO CA 91761",12/12/2023,Complete
PPA23-0468,Planning Pre-Application,"0 E SCHAEFER AV, ONTARIO CA 91761",12/12/2023,Complete
PPA23-0467,Planning Pre-Application,"8459 E SCHAEFER AV, ONTARIO CA 91761",12/12/2023,Complete
PPA23-0466,Planning Pre-Application,"0 S WALKER AV, ONTARIO CA 91710",12/12/2023,Complete
PPA23-0465,Planning Pre-Application,"7208 E CHINO AV, ONTARIO CA 91761",12/12/2023,Withdrawn
PPA23-0464,Planning Pre-Application,"0 E CHINO AV, ONTARIO CA 91761",12/12/2023,Complete
PPA23-0463,Planning Pre-Application,"5701 E CLARK ST, ONTARIO CA 91761",12/11/2023,Complete
PPA23-0462,Planning Pre-Application,"905 W GRANADA CT, Ontario CA 91762",12/9/2023,Withdrawn
PPA23-0461,Planning Pre-Application,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",12/7/2023,Resubmittal Required
PDET23-016,Determination of Use,"1205 N GROVE AV, BLDG 1, ONTARIO CA 91764",12/6/2023,Active
PDET23-015,Determination of Use,"630 S OAKS AV, ONTARIO CA 91762",12/6/2023,Active
PDET23-014,Determination of Use,"1440 W MISSION BL, BLDG 2, ONTARIO CA 91762",12/6/2023,Active
PDET23-013,Determination of Use,"1241 E HOLT BL, BLDG 1, ONTARIO CA 91761",12/6/2023,Active
PDET23-012,Determination of Use,"1522 W MISSION BL, ONTARIO CA 91762",12/6/2023,Active
PDET23-011,Determination of Use,"1510 W MISSION BL, ONTARIO CA 91762",12/6/2023,Active
PDET23-010,Determination of Use,"1120 E HOLT BL, ONTARIO CA 91761",12/6/2023,Active
PDET23-009,Determination of Use,"2301 S EUCLID AV, ONTARIO CA 91761",12/6/2023,Active
PDET23-008,Determination of Use,"3560 E SHADOW CREEK WY, ONTARIO CA 91761",12/6/2023,Active
PDET23-007,Determination of Use,"1530 W MISSION BL, BLDG 1, ONTARIO CA 91762",12/6/2023,Active
PPA23-0460,Planning Pre-Application,"312 E E ST, ONTARIO CA 91764",12/6/2023,Withdrawn
PVER23-055,Zoning Verification Letter,"4502 E AIRPORT DR, ONTARIO CA 91761",12/5/2023,Approved
PVER23-054,Zoning Verification Letter,"1804 E ELMA ST, Ontario CA 91761",12/5/2023,Approved
PVER23-053,Zoning Verification Letter,"0 E SANTA ANA ST, ONTARIO CA 91761",12/5/2023,Under Review
PVER23-052,Zoning Verification Letter,"1930 S ROCHESTER AV, SUITE 101, ONTARIO CA 91761",12/5/2023,Under Review
PVER23-051,Zoning Verification Letter,"2260 S ARCHIBALD AV, SUITE A, ONTARIO CA 91761",12/5/2023,Under Review
PVER23-050,Zoning Verification Letter,"1920 S ROCHESTER AV, SUITE 101, ONTARIO CA 91761",12/5/2023,Under Review
PVER23-049,Zoning Verification Letter,"2580 E PHILADELPHIA ST, SUITE A, ONTARIO CA 91761",12/5/2023,Approved
PPA23-0459,Planning Pre-Application,"5100 E JURUPA ST, BLDG 1, ONTARIO CA 91761",12/5/2023,Withdrawn
PUD-23-004,Planning Unit Development,,12/4/2023,Under Review
PPA23-0458,Planning Pre-Application,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",12/4/2023,Withdrawn
PPA23-0457,Planning Pre-Application,"4550 E ONTARIO MILLS PW, ONTARIO CA 91764",12/4/2023,Resubmittal Required
PPA23-0456,Planning Pre-Application,"4502 E AIRPORT DR, ONTARIO CA 91761",12/1/2023,Complete
PPA23-0455,Planning Pre-Application,"1804 E ELMA ST, Ontario CA 91761",12/1/2023,Complete
PVER23-048,Zoning Verification Letter,"1643 S GROVE AV, ONTARIO CA 91761",11/30/2023,Approved
PTUP23-143,Temporary Use Permit,"930 N HAVEN AV, ONTARIO CA 91764",11/30/2023,Approved
PTUP23-142,Temporary Use Permit,"115 S PALM AV, ONTARIO CA 91762",11/30/2023,Approved
PTUP23-141,Temporary Use Permit,"3872 E ANTELOPE CREEK DR, ONTARIO CA 91761",11/30/2023,Approved
PDEV23-042,Development Plan,"3791 S ARCHIBALD AV, ONTARIO CA 91761",11/30/2023,Approved Final
PPA23-0454,Planning Pre-Application,"1106 W PHILADELPHIA ST, ONTARIO CA 91762",11/30/2023,Withdrawn
PPA23-0453,Planning Pre-Application,"0 E SANTA ANA ST, ONTARIO CA 91761",11/30/2023,Complete
PPA23-0452,Planning Pre-Application,"1920 S ROCHESTER AV, SUITE 101, ONTARIO CA 91761",11/30/2023,Complete
PPA23-0451,Planning Pre-Application,"1930 S ROCHESTER AV, SUITE 101, ONTARIO CA 91761",11/30/2023,Complete
PPA23-0450,Planning Pre-Application,"2260 S ARCHIBALD AV, SUITE A, ONTARIO CA 91761",11/30/2023,Complete
PPA23-0449,Planning Pre-Application,"2580 E PHILADELPHIA ST, SUITE A, ONTARIO CA 91761",11/30/2023,Complete
PPA23-0448,Planning Pre-Application,"115 S PALM AV, ONTARIO CA 91762",11/29/2023,Complete
23TMP-007363,Planning Pre-Application,,11/28/2023,
PTUP23-140,Temporary Use Permit,"303 E B ST, ONTARIO CA 91764",11/28/2023,Approved
PTUP23-139,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",11/28/2023,Approved
PSGN23-149,Sign Permit,"990 N ONTARIO MILLS DR, SUITE C, ONTARIO CA 91764",11/28/2023,Approved Final
PPA23-0447,Planning Pre-Application,"930 N HAVEN AV, ONTARIO CA 91764",11/28/2023,Complete
PPA23-0446,Planning Pre-Application,"1643 S GROVE AV, ONTARIO CA 91761",11/28/2023,Complete
PTUP23-138,Temporary Use Permit,215 E C ST,11/22/2023,Approved
PTUP23-137,Temporary Use Permit,303 E B ST,11/22/2023,Approved
PTUP23-136,Temporary Use Permit,1240 W Fourth ST,11/22/2023,Approved
PADV23-006,Advance Planning,"200 N EUCLID AV, ONTARIO CA 91762",11/22/2023,Under Review
PPA23-0445,Planning Pre-Application,"3791 S ARCHIBALD AV, ONTARIO CA 91761",11/21/2023,Complete
PTUP23-135,Temporary Use Permit,"2000 E CONVENTION CENTER WY, ONTARIO CA 91761",11/21/2023,Approved
PSGN23-148,Sign Permit,"703 S EUCLID AV, ONTARIO CA 91761",11/20/2023,Approved Final
PADV23-005,Advance Planning,"231 N EUCLID AV, ONTARIO CA 91762",11/20/2023,Approved Final
PPA23-0444,Planning Pre-Application,"2460 S GROVE AV, BLDG 1, ONTARIO CA 91761",11/20/2023,Withdrawn
23TMP-007100,Planning Pre-Application,"2025 S bon view AV, UNIT, Ontario CA United States",11/16/2023,
PVER23-047,Zoning Verification Letter,"601 S OAKS AV, ONTARIO CA 91762",11/16/2023,Active
PTUP23-134,Temporary Use Permit,"1259 E D ST, ONTARIO CA 91764",11/16/2023,Approved
PTUP23-133,Temporary Use Permit,"1501 S BON VIEW AV, BLDG 1, ONTARIO CA 91761",11/16/2023,Approved
PTUP23-132,Temporary Use Permit,"1501 S BON VIEW AV, BLDG 1, ONTARIO CA 91761",11/16/2023,Approved
PTUP23-131,Temporary Use Permit,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",11/16/2023,Approved
PSGN23-147,Sign Permit,"2837 E CEDAR ST, BLDG 1, ONTARIO CA 91761",11/16/2023,Approved Final
PSGN23-146,Sign Permit,"1210 E HOLT BL, Ontario CA 91761",11/16/2023,Approved Final
PPA23-0443,Planning Pre-Application,"601 S OAKS AV, ONTARIO CA 91762",11/16/2023,Complete
PSPA23-002,Specific Plan Amendment,"301 S ROCKEFELLER AV, ONTARIO CA 91761",11/15/2023,Approved Final
PSGN23-145,Sign Permit,"1851 E G ST, ONTARIO CA 91764",11/15/2023,Approved Final
PPA23-0442,Planning Pre-Application,"1108 E CALIFORNIA ST, ONTARIO CA 91761",11/15/2023,Complete
23TMP-007035,Planning Pre-Application,,11/14/2023,
PTUP23-130,Temporary Use Permit,"216 N EUCLID AV, ONTARIO CA 91761",11/14/2023,Approved
PTUP23-129,Temporary Use Permit,"710 S SULTANA AV, ONTARIO CA 91761",11/14/2023,Approved
PSGN23-144,Sign Permit,"920 N HAVEN AV, ONTARIO CA 91764",11/14/2023,Approved Final
PSGN23-143,Sign Permit,"3520 E Guasti RD, SUITE 120, Ontario CA United States",11/14/2023,Approved Final
PPA23-0441,Planning Pre-Application,"1851 E G ST, ONTARIO CA 91764",11/14/2023,Complete
PPA23-0440,Planning Pre-Application,"1105 N MOUNTAIN AV, ONTARIO CA 91762",11/14/2023,Resubmittal Required
PPA23-0439,Planning Pre-Application,"920 N HAVEN AV, ONTARIO CA 91764",11/14/2023,Complete
PDEV23-041,Development Plan,"3580 E GUASTI RD, ONTARIO CA 91761",11/13/2023,Approved Final
PPA23-0438,Planning Pre-Application,"3520 E Guasti RD, SUITE 120, Ontario CA United States",11/13/2023,Complete
PPA23-0437,Planning Pre-Application,"703 S EUCLID AV, ONTARIO CA 91761",11/13/2023,Complete
PPA23-0436,Planning Pre-Application,"2958 S MILLIKEN AV, ONTARIO CA 91761",11/13/2023,Withdrawn
PPA23-0435,Planning Pre-Application,"710 S SULTANA AV, ONTARIO CA 91761",11/13/2023,Complete
PTUP23-128,Temporary Use Permit,"316 W B ST, ONTARIO CA 91762",11/10/2023,Approved
PSGN23-142,Sign Permit,"141 N EUCLID AV, BLDG 1, ONTARIO CA 91762",11/9/2023,Under Review
PPA23-0434,Planning Pre-Application,"2200 E PHILADELPHIA ST, BLDG 1, ONTARIO CA 91761",11/9/2023,Withdrawn
PPA23-0433,Planning Pre-Application,"1923 E AVION ST, BLDG 2, ONTARIO CA 91761",11/9/2023,Withdrawn
PPA23-0432,Planning Pre-Application,"710 S SULTANA AV, ONTARIO CA 91761",11/9/2023,Resubmittal Required
PVER23-046,Zoning Verification Letter,"4001 E GREYSTONE DR, ONTARIO CA 91761",11/8/2023,Under Review
PVER23-045,Zoning Verification Letter,"1100 S ETIWANDA AV, ONTARIO CA 91761",11/8/2023,Under Review
PSGN23-141,Sign Permit,"4050 E GREYSTONE DR, ONTARIO CA 91761",11/8/2023,Approved Final
PSGN23-140,Sign Permit,"565 E CALIFORNIA ST, BLDG 1, ONTARIO CA 91761",11/8/2023,Approved Final
PSGN23-139,Sign Permit,"630 E CALIFORNIA ST, ONTARIO CA 91761",11/8/2023,Approved Final
